Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_per_week,Experience_Level,BMI
41.0,Female,72.7,1.61,182.0,131.0,73.0,1.01,661.0,Cycling,32.7,2.5,2.0,Intermediate,28.0
39.0,Male,66.8,1.61,186.0,143.0,63.0,0.59,430.0,HIIT,20.1,2.2,3.0,Intermediate,25.7
41.0,Male,87.4,1.74,189.0,156.0,77.0,0.65,564.0,Swimming,29.7,2.9,2.0,Beginner,28.9
35.0,Male,82.3,1.82,176.0,119.0,73.0,0.73,609.0,Strength Training,9.4,2.7,4.0,Advanced,25.0
44.0,Female,53.2,1.72,184.0,140.0,74.0,0.9,406.0,Cycling,27.1,2.2,2.0,Intermediate,22.7
32.0,Male,82.3,1.69,183.0,137.0,82.0,0.61,350.0,Aerobics,26.7,2.4,3.0,Beginner,28.8
60.0,Male,97.2,1.85,160.0,119.0,76.0,0.5,323.0,Basketball,28.3,3.0,5.0,Beginner,28.5
19.0,Female,103.9,1.73,202.0,143.0,74.0,0.62,451.0,Basketball,40.0,2.7,3.0,Intermediate,34.7
22.0,Male,86.7,1.63,204.0,159.0,80.0,0.64,528.0,Cycling,29.3,2.5,3.0,Beginner,32.5
18.0,Male,85.0,1.81,195.0,119.0,60.0,0.98,373.0,Yoga,15.7,2.7,5.0,Advanced,25.8
42.0,Female,46.8,1.59,186.0,116.0,70.0,0.71,200.0,Yoga,21.2,1.8,2.0,Intermediate,18.5
43.0,Male,107.0,1.96,180.0,150.0,81.0,0.56,654.0,HIIT,27.2,3.1,2.0,Beginner,28.0
33.0,Male,85.3,1.74,167.0,132.0,67.0,0.69,549.0,HIIT,27.4,2.6,5.0,Intermediate,28.1
32.0,Male,93.0,1.73,197.0,143.0,68.0,0.74,494.0,Basketball,27.8,2.7,4.0,Intermediate,31.0
28.0,Female,67.9,1.67,190.0,132.0,66.0,0.84,375.0,Boxing,28.3,2.3,4.0,Intermediate,24.5
19.0,Male,77.2,1.71,191.0,133.0,66.0,0.72,432.0,Soccer,16.9,2.4,3.0,Intermediate,26.6
28.0,Male,79.1,1.75,197.0,131.0,65.0,0.66,355.0,Soccer,21.0,2.4,3.0,Intermediate,25.8
65.0,Female,55.4,1.58,160.0,109.0,68.0,0.73,433.0,Boxing,23.3,2.0,5.0,Advanced,22.1
47.0,Female,82.8,1.75,175.0,118.0,75.0,0.57,281.0,Walking,37.6,28.6,4.0,Beginner,27.1
25.0,Female,48.2,1.61,190.0,139.0,78.0,0.63,215.0,Tennis,22.6,2.0,5.0,Beginner,18.5
60.0,Non-binary,66.5,1.72,168.0,103.0,77.0,0.69,253.0,Walking,21.8,2.3,3.0,Beginner,21.5
18.0,Female,72.7,1.68,201.0,145.0,71.0,0.53,260.0,Strength Training,32.0,2.2,3.0,Beginner,25.8
19.0,Female,49.9,1.53,197.0,152.0,62.0,0.69,330.0,HIIT,26.2,1.9,4.0,Intermediate,21.3
42.0,Female,53.8,1.7,171.0,115.0,82.0,0.54,200.0,Pilates,26.2,1.8,3.0,Beginner,18.5
25.0,Female,58.5,1.53,197.0,164.0,69.0,0.5,335.0,Basketball,27.7,2.0,3.0,Beginner,24.9
20.0,Female,45.7,1.57,191.0,154.0,60.0,0.73,355.0,Basketball,24.4,1.6,4.0,Advanced,18.5
35.0,Male,85.3,1.82,183.0,116.0,81.0,0.58,243.0,Pilates,22.9,2.3,5.0,Beginner,25.8
30.0,Female,51.3,1.54,182.0,134.0,85.0,0.55,200.0,Basketball,27.8,1.7,2.0,Beginner,21.6
54.0,Female,80.7,1.65,166.0,144.0,83.0,0.57,491.0,HIIT,40.0,2.4,4.0,Beginner,29.7
19.0,Female,73.8,1.69,193.0,110.0,67.0,0.62,221.0,Yoga,25.6,2.3,4.0,Intermediate,24.4
33.0,Female,79.3,1.58,195.0,148.0,68.0,0.9,681.0,Rowing,39.9,2.7,3.0,Intermediate,31.7
50.0,Male,77.9,1.72,165.0,126.0,76.0,0.72,447.0,Tennis,21.1,2.4,5.0,Beginner,26.4
28.0,Male,78.6,1.74,198.0,153.0,68.0,1.0,800.0,Rowing,14.7,2.4,3.0,Advanced,26.0
18.0,Female,75.7,1.64,195.0,140.0,71.0,0.52,264.0,Soccer,35.0,2.2,2.0,Beginner,28.1
30.0,Female,55.7,1.67,196.0,164.0,69.0,0.5,314.0,HIIT,23.5,1.9,4.0,Beginner,19.9
41.0,Male,90.3,1.74,182.0,134.0,75.0,0.58,392.0,Soccer,28.1,2.6,3.0,Beginner,29.7
41.0,Male,74.9,1.79,172.0,126.0,76.0,0.66,390.0,Boxing,19.0,2.3,2.0,Beginner,23.3
18.0,Female,98.7,1.75,210.0,146.0,67.0,0.84,536.0,Basketball,40.0,3.0,4.0,Intermediate,32.4
