Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_per_week,Experience_Level,BMI
60.0,Female,60.7,72.85000000000001,160.0,100.0,71.0,0.83,8070.0,Walking,33.6,2.0,4.0,Intermediate,25.1
28.0,Male,88.6,1.69,13320.0,150.0,74.0,0.81,,Running,27.2,2.5,3.0,Beginner,30.9
41.0,Female,72.7,1.61,182.0,131.0,73.0,1.01,661.0,Cycling,32.7,2.5,2.0,Intermediate,28.0
39.0,Male,66.8,1.61,186.0,143.0,63.0,0.59,430.0,HIIT,20.1,2.2,3.0,Intermediate,25.7
41.0,Male,87.4,1.74,189.0,156.0,77.0,0.65,564.0,Swimming,29.7,2.9,2.0,Beginner,28.9
35.0,Male,82.3,1.82,176.0,119.0,73.0,,609.0,Strength Training,9.4,2.7,4.0,Advanced,25.0
44.0,Female,53.2,,184.0,140.0,74.0,0.9,406.0,Cycling,27.1,2.2,2.0,Intermediate,22.7
32.0,Male,82.3,1.69,183.0,137.0,82.0,0.61,350.0,Aerobics,26.7,2.4,3.0,Beginner,28.8
60.0,Male,97.2,1.85,160.0,119.0,76.0,0.5,323.0,Basketball,28.3,3.0,5.0,Beginner,28.5
19.0,Female,103.9,1.73,202.0,143.0,74.0,0.62,451.0,Basketball,40.0,2.7,3.0,Intermediate,34.7
33.0,Male,2662.7999999999997,1.8,193.0,130.0,73.0,0.86,554.0,Soccer,25.2,2.8,3.0,Intermediate,29.5
22.0,Male,86.7,1.63,204.0,159.0,80.0,0.64,528.0,Cycling,29.3,2.5,3.0,Beginner,32.5
18.0,Male,85.0,1.81,195.0,119.0,60.0,0.98,373.0,Yoga,15.7,2.7,5.0,udvanced,25.8
42.0,Female,46.8,1.59,186.0,116.0,70.0,0.71,200.0,Yoga,21.2,1.8,2.0,Intermediate,18.5
43.0,Male,107.0,1.96,180.0,150.0,81.0,0.56,654.0,HIIT,27.2,3.1,2.0,Beginner,28.0
,Male,85.3,1.74,167.0,132.0,67.0,0.69,549.0,HIIT,27.4,2.6,5.0,Intermediate,28.1
22.0,Male,76.6,1.69,200.0,166.0,68.0,12.75,705.0,Running,19.2,2.3,5.0,Intermediate,26.8
50.0,Male,88.2,1.73,163.0,101.0,56.0,1.0,631.0,Strength Training,19.4,2.8,7.0,Professional,29.6
